Бренд;Пример номера;Комментарий
Bosch;GBH 2-26;буквы + цифры через дефис
Makita;DHP453;буквы + цифры слитно
DeWalt;DCD771;буквы + цифры слитно
Metabo;BS 18;буквы + цифры
Black+Decker;BDCDC18;буквы + цифры
Einhell;TE-CD 18/2;буквы-цифры с дробью
Karcher;K 5;буква + цифра
Ryobi;R18PD3;буквы-цифры слитно
AEG;BSB 18 C2;буквы + цифры
Stanley;SFMCD700;буквы + цифры
Worx;WX372;буквы + цифры
Teka;ML 915;буквы + цифры
Cata;ILM 3285;буквы + цифры
Brabantia;480628;цифровой код 6 знаков
Delinia;iD 60;короткий код
Siemens;SN23EI14CE;буквы+цифры длинный
Beko;WUE 6512;буквы + цифры
Candy;CS 1482DE;буквы + цифры
Philips;HR2221;буквы + цифры
Tefal;GV9563;буквы + цифры
Grohe;32843000;цифровой код 8 знаков
Roca;A5A3C09C00;буквы+цифры длинный
Geberit;115.770.11.5;цифры с точками
Nilfisk;128350015;цифровой код
Vileda;158632;цифровой код 6 знаков
