Фото;Товар;Артикул;Производитель;Номер производителя;Раздел;Цена;Валюта;Источник цены;Дата парсинга;URL
https://media.adeo.com/mkp/9b2cc47800b7528d6d3b99ba70f79df3/media.jpg?width=100;Taladro de banco SCHEPPACH DP60SE (710 W);85565812;SCHEPPACH;DP60SE;Herramientas > Herramientas electricas portatiles > Herramientas electricas para taladrar atornillar > Taladros > Taladros de bateria;323.74;EUR;extension-list;05.09.2026, 18:00:48;https://www.leroymerlin.es/productos/taladro-de-banco-scheppach-dp60se-710-w-85565812.html
https://media.adeo.com/mkp/f2d8577a7b75530203850f9f78b9b38a/media.jpg?width=100;Perceuse à percussion SB 18 L BL METABO sans batterie ni chargeur - 602331890;83980431;Metabo;;Herramientas > Herramientas electricas portatiles > Herramientas electricas para taladrar atornillar > Taladros > Taladros de bateria;143.45;EUR;extension-list;05.09.2026, 18:00:48;https://www.leroymerlin.es/productos/perceuse-a-percussion-sb-18-l-bl-metabo-sans-batterie-ni-chargeur-602331890-83980431.html
https://media.adeo.com/mkp/2883f73109bbe600367dcdef4f060653/media.jpg?width=300;Taladro y destornillador eléctrico 2 en 1, taladro inalámbrico con batería de iones de litio, destornillador manual con batería de iones de litio.;77462225;;;Herramientas > Herramientas electricas portatiles > Herramientas electricas para taladrar atornillar > Taladros > Taladros de bateria;58.89;EUR;extension-list;05.09.2026, 18:00:48;https://www.leroymerlin.es/productos/taladro-y-destornillador-electrico-2-en-1-taladro-inalambrico-con-bateria-de-iones-de-litio-destornillador-manual-con-bateria-de-iones-de-litio-77462225.html
https://media.adeo.com/mkp/2188fcef068cf90bffe0fd0145fda387/media.jpg?width=300;Scheppach Juego de taladro neumático reversible 3/8;82687179;Scheppach;3/8;Herramientas > Herramientas electricas portatiles > Herramientas electricas para taladrar atornillar > Taladros > Taladros de bateria;67.9;EUR;extension-list;05.09.2026, 18:00:48;https://www.leroymerlin.es/productos/scheppach-juego-de-taladro-neumatico-reversible-3-8-82687179.html
https://media.adeo.com/mkp/1d2142728f8a26f5d90450fc469edce9/media.jpg?width=300;Función de bloqueo automático del husillo;83375518;Función;;Herramientas > Herramientas electricas portatiles > Herramientas electricas para taladrar atornillar > Taladros > Taladros de bateria;;;;05.09.2026, 18:00:48;https://www.leroymerlin.es/productos/funcion-de-bloqueo-automatico-del-husillo-83375518.html
https://media.adeo.com/mkp/ca084876963f365c34e35a5c3110f808/media.jpg?width=300;Taladro percutor 810W STEIN PRO;86211480;STEIN PRO;810W;Herramientas > Herramientas electricas portatiles > Herramientas electricas para taladrar atornillar > Taladros > Taladros de bateria;63.5;EUR;extension-list;05.09.2026, 18:00:48;https://www.leroymerlin.es/productos/taladro-percutor-810w-stein-pro-86211480.html
https://media.adeo.com/mkp/f21230fe1f541127bccb90f914720d64/media.jpg?width=300;Martillo perforador Original Silverline 710W;89140682;Silverline;710W;Herramientas > Herramientas electricas portatiles > Herramientas electricas para taladrar atornillar > Taladros > Taladros de bateria;100.27;EUR;extension-list;05.09.2026, 18:00:48;https://www.leroymerlin.es/productos/martillo-perforador-original-silverline-710w-89140682.html
https://media.adeo.com/mkp/27e06512fb62d97113ac3394a35f7cb8/media.jpg?width=300;Yofidra Llaves de impacto a bateria 700 N·m,1/2;78491850;Yofidra;700 N·m,1/2;Herramientas > Herramientas electricas portatiles > Herramientas electricas para taladrar atornillar > Taladros > Taladros de bateria;75.99;EUR;extension-list;05.09.2026, 18:00:48;https://www.leroymerlin.es/productos/yofidra-llaves-de-impacto-a-bateria-700-n-m-1-2-luz-led-3-velocidad-con-4-0ah-2-baterias-78491850.html
https://media.adeo.com/mkp/dd9b253b837c34dee71d20cb53ae79d3/media.jpg?width=100;Perceuse sans balais Hu-Firma Hu-T20B/Li 2 baterías 20 V-4 Ah;75061685;Hu-Firma;Hu-T20B/Li;Herramientas > Herramientas electricas portatiles > Herramientas electricas para taladrar atornillar > Taladros > Taladros de bateria;295.84;EUR;extension-list;05.09.2026, 18:00:48;https://www.leroymerlin.es/productos/perceuse-sans-balais-hu-firma-hu-t20b-li-2-baterias-20-v-4-ah-75061685.html
https://media.adeo.com/mkp/940ea995a1f56c45b9a58e069362bace/media.jpg?width=100;"Yofidra Llaves de impacto a bateria 700 N·m,1/2"",luz LED,3 velocidad,con 4.0Ah×2 baterías y 4 vasos de impacto";99338459;Yofidra;700 N·m,1/2;Herramientas > Herramientas electricas portatiles > Herramientas electricas para taladrar atornillar > Taladros > Taladros de bateria;82.99;EUR;extension-list;05.09.2026, 18:00:48;https://www.leroymerlin.es/productos/conjunto-de-perforadora-de-bateria-de-55-nm-con-2-baterias-y-accesorios-de-25-piezas-alimentacion-de-perforacion-de-10-mm-20-3-niveles-de-torsion-99338459.html
https://media.adeo.com/mkp/126ec73d035a87f3e2cbd9e7bed0e50f/media.jpg?width=100;Black & Decker BCD382D1XK-QW taladro Naranja;91772945;BLACK+DECKER;BCD382D1XK-QW;Herramientas > Herramientas electricas portatiles > Herramientas electricas para taladrar atornillar > Taladros > Taladros de bateria;109.56;EUR;extension-list;05.09.2026, 18:00:48;https://www.leroymerlin.es/productos/black-decker-bcd382d1xk-qw-taladro-naranja-91772945.html
https://media.adeo.com/mkp/ea234e9d74e19d3ee02d88959fb178e2/media.jpg?width=100;Perceuse à percussion METABO - SB 18V - LTX BL I 2 x 4,0 Ah Li-Power, ASC 55, coffret - 602352500;18119211;Metabo;SB 18V - LTX BL I 2 x 4,0 Ah Li-Power, ASC 55, coffret - 602352500;Herramientas > Herramientas electricas portatiles > Herramientas electricas para taladrar atornillar > Taladros > Taladros de bateria;481.84;EUR;extension-list;05.09.2026, 18:00:48;https://www.leroymerlin.es/productos/perceuse-a-percussion-metabo-sb-18v-ltx-bl-i-2-x-4-0-ah-li-power-asc-55-coffret-602352500-18119211.html
https://media.adeo.com/mkp/e8f9f842e331d8fca821d058a7b2d041/media.jpg?width=100;Taraudeuse GB 18V LTX BL Q I METABO sans batterie ni chargeur + coffret MetaBox - 603828840;82249823;Metabo;GB 18V LTX BL Q I 2 x 5,5 Ah LiHD, ASC 145, coffret + 2ème mandrin - 603828660;Herramientas > Herramientas electricas portatiles > Herramientas electricas para taladrar atornillar > Taladros > Taladros de bateria;346.3;EUR;extension-list;05.09.2026, 18:00:48;https://www.leroymerlin.es/productos/taraudeuse-gb-18v-ltx-bl-q-i-metabo-sans-batterie-ni-chargeur-coffret-metabox-603828840-82249823.html
https://media.adeo.com/mkp/dbaf3300b9575e6fbba9a336286d771d/media.jpg?width=100;Perceuse visseuse METABO - BS 18V - LTX BL I 2 x 5,5 Ah LiHD, ASC 145, coffret - 602350660;83072894;Metabo;BS 18V - LTX BL I 2 x 5,5 Ah LiHD, ASC 145, coffret - 602350660;Herramientas > Herramientas electricas portatiles > Herramientas electricas para taladrar atornillar > Taladros > Taladros de bateria;611.5;EUR;extension-list;05.09.2026, 18:00:48;https://www.leroymerlin.es/productos/perceuse-visseuse-metabo-bs-18v-ltx-bl-i-2-x-5-5-ah-lihd-asc-145-coffret-602350660-83072894.html
https://media.adeo.com/mkp/29ad5ef5cac13759d4aa5827b7b9a0d8/media.jpg?width=100;Taraudeuse METABO - GB 18V LTX BL Q I 2 x 5,5 Ah LiHD, ASC 145, coffret + 2ème mandrin - 603828660;83073013;Metabo;GB 18V LTX BL Q I 2 x 5,5 Ah LiHD, ASC 145, coffret + 2ème mandrin - 603828840;Herramientas > Herramientas electricas portatiles > Herramientas electricas para taladrar atornillar > Taladros > Taladros de bateria;690.76;EUR;extension-list;05.09.2026, 18:00:48;https://www.leroymerlin.es/productos/taraudeuse-metabo-gb-18v-ltx-bl-q-i-2-x-5-5-ah-lihd-asc-145-coffret-2eme-mandrin-603828660-83073013.html
https://media.adeo.com/mkp/f20471ac4afab2d6f628585da58e4b0b/media.jpg?width=100;Llave de impacto eléctrica 1010 vatios;83063180;Impact;;Herramientas > Herramientas electricas portatiles > Herramientas electricas para taladrar atornillar > Taladros > Taladros de bateria;;;;05.09.2026, 18:00:48;https://www.leroymerlin.es/productos/llave-de-impacto-electrica-1010-vatios-83063180.html
https://media.adeo.com/mkp/88183c83af20197558ff8ff5ddae870e/media.jpg?width=100;POWX00830 - Taladro atornillador 20V - incl. 2 baterías 20V 1,3Ah y cargador - 134 acc.;88933387;;POWX00830;Herramientas > Herramientas electricas portatiles > Herramientas electricas para taladrar atornillar > Taladros > Taladros de bateria;151.92;EUR;extension-list;05.09.2026, 18:00:48;https://www.leroymerlin.es/productos/powx00830-taladro-atornillador-20v-incl-2-baterias-20v-1-3ah-y-cargador-134-acc-88933387.html
https://media.adeo.com/mkp/9e488c5c6bac96c68a86aa8a0c700375/media.jpg?width=100;Llave de impacto inalámbrica 1/4 - SCHEPPACH - 20V IXES - Par 180 Nm - sin batería ni cargador - C-ID180-X;94729358;Impact;C-ID180-X;Herramientas > Herramientas electricas portatiles > Herramientas electricas para taladrar atornillar > Taladros > Taladros de bateria;80.37;EUR;extension-list;05.09.2026, 18:00:48;https://www.leroymerlin.es/productos/llave-de-impacto-inalambrica-1-4-scheppach-20v-ixes-par-180-nm-sin-bateria-ni-cargador-c-id180-x-94729358.html
https://media.adeo.com/mkp/12c77bd7ee113fd12f5f96d9c0515944/media.jpg?width=100;Bosch professional taladro/destornillador inalÁmbrico gsr 18v-45 professional, 18 voltios azul/negro, 3 baterÍas de iones de lit;89814155;Bosch;professional taladro/destornillador inalÁmbrico gsr 18v-45 professional, 18 volt;Herramientas > Herramientas electricas portatiles > Herramientas electricas para taladrar atornillar > Taladros > Taladros de bateria;442.45;EUR;extension-list;05.09.2026, 18:00:29;https://www.leroymerlin.es/productos/bosch-professional-taladro-destornillador-inalambrico-gsr-18v-45-professional-18-voltios-azul-negro-3-baterias-de-iones-de-lit-89814155.html
https://media.adeo.com/mkp/523a2fe035112fcfd4edb96224971ac7/media.jpg?width=100;Taladro de batería GSR 12V-35 FC | Batería 2x 3.0ah 1 pieza y l-boxx;86570296;;12V-35;Herramientas > Herramientas electricas portatiles > Herramientas electricas para taladrar atornillar > Taladros > Taladros de bateria;383.89;EUR;extension-list;05.09.2026, 18:00:29;https://www.leroymerlin.es/productos/taladro-de-bateria-gsr-12v-35-fc-bateria-2x-3-0ah-1-pieza-y-l-boxx-86570296.html
