Бренд;Пример товара
Adsorption;Inteligente destornillador eléctrico c/ doble Torque ajuste fuerte magnético Ads
Brüder Mannesmann;Brüder Mannesmann Taladro inalámbrico 2x20 V 1,5 Ah
COFAN;COFAN TALADRO 20 V.1 BATERIA 2.0 Ah.CARGADOR PERCUTOR BOX
Casals;Taladro Atornillador a Batería Casals 12V | 1,3Ah | 0-800 rpm | 19+1 Posiciones 
Cecoraptor;Taladro cecoraptor perfect drill 4020 x-treme
Dnipro-M;Dnipro-M Taladro Percutor CD-218Q 20V, Batería 2Ah, Kit con Juego de Brocas 41 u
FEIN;Atornillador en seco FEIN 18V ASCT 18 SELECT - Sin batería ni cargador - 7113166
FESTOOL;Atornillador autoalimentado a batería DWC 18-2500 Basic DURADRIVE - 576497 - Fes
FUXTEC;Taladro atornillador a batería 20V FX-E1BS20 FUXTEC- set con 2x baterías 2ah y 1
Festool;Taladro atornillador a batería TXS 18 C 3.0-Set - 576896 - Festool
GAL;ATORNILLADOR A BATERÍA GSR 18V-55 2x 20Ah GAL 18V-40 L-BOXX
GDS;ATORNILLADOR DE IMPACTO A BATERÍA GDS 18V-1000 cartón.
GENERIQUE;GENERIQUE Avvitatore a impulsi elettrico brushless, chiave a batteria da 1/2 pol
GREENWORKS;Taladro atornillador Brushless 24V GREENWORKS - 45Nm - Sin batería ni cargador -
GSR;Destornillador de perforación inalámbrica GSR 18V-90 FC, 1x clip de correa, 1x s
HIKOKI;Perceuse visseuse 55Nm 18V HIKOKI - sans batterie - DS18DDW4Z
HYCHIKA;HYCHIKA Trapano Avvitatore Batteria 18V, Trapano a percussione 45 Nm, Batteria 2
Hikoki;Taladro Atornillador a Batería Hikoki DS18DDWRZ - Brushless - 18 V - 2 Baterías 
Hu-Firma;Perceuse sans balais Hu-Firma Hu-T20B/Li 2 baterías 20 V-4 Ah
KEF&R;Expandidor bateria KEF&R 16-20-25-32
KOMA TOOLS;Taladro / atornillador a bateria lithium-ion 14,4v 20x24cm koma tools
KS TOOLS;"KS TOOLS Clé à choc pneumatique haute performance superMONSTER 1"","
Klack;Taladro Atornillador Klack a Batería con Percusión, 2 Baterías y 25+3 Ajustes de
LEDANDER;LEDANDER Llave de impacto eléctrica sin escobillas, torque 2000 Nm, 1/2 pulgada,
ONEVAN;ONEVAN Llaves de impacto a bateria 20V sin escobillas 1000 Nm,1/2
Onevan;"ONEVAN Llaves de impacto a bateria 20V sin escobillas 700 Nm, 1/2"",4 velocidades"
PowerPlus;Taladro Atornillador 20V PowerPlus
Powerplus;Taladro Bateria Powerplus 18 V 2 Baterias 1.5 Ah
Procore;Taladro de batería GSR 18V-55 | 2 x 4.0 AH Battery Procore18V en l-boxx
ROYCE;ATORNILLADOR INALÁMBRICO RECARGABLE DE 21 PIEZAS PARA ATORNILLAR Y DESatornillar
RYOBI;RYOBI
Ryobi;Taladro percutor Ryobi R18PD7-0 18V 85Nm producto único
SCHEPPACH;Taladro de banco SCHEPPACH DP60SE (710 W)
STEIN PRO;Taladro percutor 810W STEIN PRO
STHOR;Taladro/atornillador con impacto 18V STHOR 78974
Scheppach;Scheppach Juego de taladro neumático reversible 3/8
Silverline;Martillo perforador Original Silverline 710W
Yofidra;Yofidra Llaves de impacto a bateria 700 N·m,1/2
