Фото;Товар;Артикул;Производитель;Номер производителя;Раздел;Цена;Валюта;Источник цены;Дата парсинга;URL
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Regulador MPPT 150V 70A Victron Smart Solar;90106974;;;Equipamiento de emergencia para el hogar;;;;06.09.2026, 18:17:52;https://www.leroymerlin.es/productos/regulador-mppt-150v-70a-victron-smart-solar-90106974.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Generador eléctrico de gasolina EINHELL TC-PG 55/E5 - 3600 W;81965285;Einhell;;Equipamiento de emergencia para el hogar;840.65;EUR;extension-list;06.09.2026, 18:17:52;https://www.leroymerlin.es/productos/generador-electrico-de-gasolina-einhell-tc-pg-55-e5-3600-w-81965285.html
https://media.adeo.com/mkp/e98ef7a7fa60d7351729b3ce526c91b9/media.jpg?width=100;Cocina Portátil de Gas Infiniton, 2 Fuegos, 50 cm, Hornillo a Gas, Gas para camping;86575666;Infiniton;Fuegos 50;Equipamiento de emergencia para el hogar;;;;06.09.2026, 18:17:52;https://www.leroymerlin.es/productos/cocina-portatil-de-gas-infiniton-2-fuegos-50-cm-hornillo-a-gas-gas-para-camping-86575666.html
https://media.adeo.com/mkp/fbeda9c9e9a69c7938301234ff1697b2/media.jpg?width=100;REGULADOR BOMBONA BUTANO NARANJA PROFESIONAL 50 MBAR;86694566;;;Equipamiento de emergencia para el hogar;13.95;EUR;extension-list;06.09.2026, 18:17:52;https://www.leroymerlin.es/productos/regulador-bombona-butano-naranja-profesional-50-mbar-86694566.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Inversor cargador instalaciones aisladas Master Power umv2 mppt 12v 100ah 1200w;91264397;;;Equipamiento de emergencia para el hogar;;;;06.09.2026, 18:17:52;https://www.leroymerlin.es/productos/inversor-cargador-instalaciones-aisladas-master-power-umv2-mppt-12v-100ah-1200w-91264397.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Convertidor 230VCA a 12VCC ACDC-XUNZEL-12V-6A;15276793;Convertidor;ACDC-XUNZEL-12V-6A;Equipamiento de emergencia para el hogar;26.95;EUR;extension-list;06.09.2026, 18:17:52;https://www.leroymerlin.es/productos/convertidor-230vca-a-12vcc-acdc-xunzel-12v-6a-15276793.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Batería Litio Pylontech 24V UP2500 2,8kWh;85769958;Pylontech;UP2500;Equipamiento de emergencia para el hogar;854.1;EUR;extension-list;06.09.2026, 18:17:52;https://www.leroymerlin.es/productos/bateria-litio-pylontech-24v-up2500-2-8kwh-85769958.html
https://media.adeo.com/media/4216275/media.jpg?width=300;Panel solar fotovoltaico SOLARPOWER-XUNZEL-120W de alta eficiencia con 4m cable;14879375;Panel;SOLARPOWER-XUNZEL-120W;Equipamiento de emergencia para el hogar;;;;06.09.2026, 18:17:52;https://www.leroymerlin.es/productos/panel-solar-fotovoltaico-solarpower-xunzel-120w-de-alta-eficiencia-con-4m-cable-14879375.html
https://media.adeo.com/media/3330786/media.jpg?width=300;Panel solar fotovoltaico SOLARPOWER-XUNZEL-20W de alta eficiencia con 2m cable;18883956;Panel;SOLARPOWER-XUNZEL-20W;Equipamiento de emergencia para el hogar;;;;06.09.2026, 18:17:52;https://www.leroymerlin.es/productos/panel-solar-fotovoltaico-solarpower-xunzel-20w-de-alta-eficiencia-con-2m-cable-18883956.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Generador inverter gasolina GENERGY FEROE - 4600W de potencia máxima - Arranque eléctrico;82220595;Genergy;;Equipamiento de emergencia para el hogar;;;;06.09.2026, 18:17:52;https://www.leroymerlin.es/productos/generador-inverter-gasolina-genergy-feroe-4600w-de-potencia-maxima-arranque-electrico-82220595.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Set Cable Solar conexión baterías en Paralelo CBP-XUNZEL-30;81929198;Xunzel;;Equipamiento de emergencia para el hogar;29.99;EUR;extension-list;06.09.2026, 18:17:52;https://www.leroymerlin.es/productos/set-cable-solar-conexion-baterias-en-paralelo-cbp-xunzel-30-81929198.html
https://www.leroymerlin.es/cdp-site/6.66.0/static/images/common/loader-v2.svg;Batería solar estacionaria U-POWER 8 OPZS 800 2V C100 1464AH;82461699;UPOWER;;Equipamiento de emergencia para el hogar;;;;06.09.2026, 18:17:52;https://www.leroymerlin.es/productos/bateria-solar-estacionaria-u-power-8-opzs-800-2v-c100-1464ah-82461699.html
https://media.adeo.com/media/3859732/media.png?width=300;POWERBANK + CABLE C 30.000 MAH VEGER;90103748;POWERBANK;C 30.000;Equipamiento de emergencia para el hogar;44.99;EUR;extension-list;06.09.2026, 18:17:52;https://www.leroymerlin.es/productos/powerbank-cable-c-30-000-mah-veger-90103748.html
