Бренд;Категория;Формат номера;Примеры оригинальных номеров
DEDRA;Электроинструмент;DED + 4 цифры (+буква/комплект A0X);"DED7850;DED7042;DED7014;DED7030A02;DED7093"
Dnipro-M;Электроинструмент;Буквы серии + 3 цифры + BC/H (+ULTRA, KIT);"DTD-201BC;DSB-25H;CD-204BC KIT;DMS-202BC"
FUXTEC;Электроинструмент/сад;FX- + буква(ы) + цифры (+SET);"FX-E1RH20;FX-RH1;FX-E1BS20;FX-CT500"
Graphite;Электроинструмент;58G + 3 цифры (EAN-подобный);"58G868;58G000;58G874;57G810"
HIKOKI;Электроинструмент;DH/DV/G + цифры + буквы (+WSZ комплект);"DH40MEY2Z;DH40MEY2WSZ;DV18DBFL2;G18DSL"
MEISTER;Электроинструмент;"Серия + мощность W; 5 цифр";"Meister MHR1010;1010 W 230 V"
Powerplus;Электроинструмент;POW + буква + 4-5 цифр;"POWX1170;POWE40030;POWDP5020"
RATIO;Электроинструмент;MR/AR + 4 цифры + буквы;"MR1050ND;AR1050;MR950N"
RYOBI;Электроинструмент;"R18 + буквы + цифры; OBL/ONE+";"R18PD3-0;R18AG7-0;OBL1820S;RRS1801M"
Scheppach;Электроинструмент;"AB/DH/HD + цифры (модель); 59 + 8 цифр (артикул)";"AB1600;5908201901;DH1200;HD2P"
Silverline;Инструменты;6 цифр;"633809;427555;240271;249765"
VERTEX;Электроинструмент;VMW/VM + 3-4 цифры (+RED);"VMW900RED;VMW1050;VM-1200"
BEXTCOK;Маркетплейс (noname);Своей системы нет — использовать мощность/тип как ID;BEXTCOK 20V 6.0Ah
MellWin;Маркетплейс (noname);Своей системы нет — модель по мощности;MellWin 670W 26mm
SucceBuy;Маркетплейс (noname);Своей системы нет — тип + параметр;SucceBuy 15T
TEKMAQUINAS;Запчасти (маркетплейс);Совместимость вместо номера (Yamaha G2-G22);G2-G22 clutch kit
DS Plus;⚠ НЕ БРЕНД;Это хвост «SDS Plus» (тип патрона) из названия Metabo — удалить;—
KH;⚠ НЕ БРЕНД;Это префикс модели Metabo (KH 18 LTX) — бренд = Metabo;—
