Бренд;Категория;Формат номера;Примеры оригинальных номеров
3-EN-UNO;Краски и химия;Артикул производителя;3-EN-1 MULTIUSOS
3M;Крепеж;Артикул + серия;3M 471; 3M VHB 4910
Aduro;Барбекю;Модель;Aduro 9; Aduro Hybrid
AEG;Бытовая техника;"L + цифра + буквы/цифры; 9-значный PNC";L6FBG841CA;EWA7800-U;L8WEC166C;BPS351120M
Aeropress;Кухня;Модель;AeroPress Original; AeroPress Go
Aguaplast;Краски и химия;Название продукта;Aguaplast Profesional
Aica;Сантехника;Артикул;AICA-001
Aigostar;Бытовая техника;Модель;Aigostar Cube; Aigostar Tower
Aiper;Бассейны;Название серии + поколение;Seagull Pro;Scuba S1
Aire+;Климат;Модель;Aire+ Portable
Airpress;Компрессоры;HL + цифры/цифры;HL 340-150;LM 50-350
Aktive;Спорт;Артикул;AKTIVE-001
Alberts;Мебель;Артикул;Alberts-001
Alecook;Кухня;Артикул;Alecook-001
Alpina;Краски;Название + код;Alpina Weiß; Alpina Nature
Altuna;Металлоизделия;Артикул;Altuna-001
Aluplak;Алюминий;Артикул;Aluplak-001
Alvic;Мебельные панели;Коллекция;Alvic Luxe; Alvic Deep
AMIG;Метизы;"4 цифры; серия + код";5800;10801;46/40
Amorim Cork;Пробка;Артикул;Amorim-001
Andemen;Декор;Артикул;Andemen-001
Angel Cerda;Керамика;Артикул;Angel Cerda-001
Aplike;Декор;Артикул;Aplike-001
Aqara;Умный дом;"Название + код; ZN/SJCGQ";Hub M2;Door Sensor P2;ZNQBKG24LM
AR Shelving;Стеллажи;Модель;AR-001
Arcane;Декор;Артикул;Arcane-001
Arco;Мебель;Артикул;Arco-001
Argenta;Двери;Модель;Argenta-001
Ariston;Водонагреватели;"Серия + код; LYDOS/VELIS";Lydos R 50;Velis Evo 50;Andris2 30
Armobany;Ванные комнаты;Коллекция;Armobany-001
Arregui;Метизы;"Серия + код; CR + цифры";CR-1000;E-5721
Arte Confort;Декор;Артикул;Arte Confort-001
Artecristal;Стекло;Артикул;Artecristal-001
Artens;Сантехника (марка LM);Название коллекции + код;Artens Basic;Artens Plus
Artysan;Декор;Артикул;Artysan-001
Ascale;Лестницы;Модель;Ascale-001
Astigarraga Kit Line;Дерево;Артикул;Astigarraga-001
Aurlane;Матрасы;Модель;Aurlane-001
Autosolar;Солнечная энергия;Модель;Autosolar-001
Axton;Стройматериалы;Артикул;Axton-001
AYR;Декор;Артикул;AYR-001
Azuvi;Керамика;Коллекция;Azuvi-001
Balay;Бытовая техника;3TS/3HB/3EB + цифры + буквы;3TS763BA;3HB4331B0;3EB963FR;3VS6360IA
Bano Total;Ванные комнаты;Коллекция;Bano Total-001
Baño Total;Ванные комнаты;Коллекция;Bano Total-001
Banydea;Ванные комнаты;Коллекция;Banydea-001
Basic;Стройматериалы;Артикул;Basic-001
Basins;Сантехника;Модель;Basins-001
Bathco;Ванные комнаты;Коллекция;Bathco-001
Baxi;Отопление;Серия + цифры/буквы;Eco3 240 Fi;Neoprime Plus 24
Bayer;Химия;Артикул;Bayer-001
BAYROL;Химия для бассейнов;Артикул;BAYROL-001
Beissier;Изоляция;Артикул;Beissier-001
Beko;Бытовая техника;Буквы + цифры + буквы (длинная);RCNA365E30ZX;DIN26420;WUE6512X0;BM3WFU4921WB
Bellobath;Ванные комнаты;Коллекция;Bellobath-001
Bellota;Инструменты;"4-5 цифр; серия + размер";3600-19;5305-B;7010-32
Benetton;Текстиль;Артикул;Benetton-001
Bernstein;Инструменты;Артикул;Bernstein-001
Bestherm;Отопление;Модель;Bestherm-001
Bestway;Бассейны;5 цифр (+BW);56283;54005;58323;64733
Bialetti;Кухня;Название + размер чашек;Moka Express 3tz;Venus 6tz
Bio+;Эко;Артикул;Bio+-001
Biohort;Садовая мебель;Модель;Biohort-001
Bissell;Уборка;Название серии + 4 цифры;CrossWave 17132;SpinWave 3110J;SpotClean 3698
BJC;Электрика;Артикул;BJC-001
Black And Decker;Электроинструмент;2-4 буквы + цифры (+BDC/BD);BDCDD12;KA300;MT350K;BDCDC18;GW3030;KS801SEK
BLACK+DECKER;Электроинструмент;2-4 буквы + цифры (+BDC/BD);BDCDD12;KA300;MT350K;BDCDC18;GW3030;KS801SEK
Bluetti;Аккумуляторы;EB/AC/EP + цифры (+P/Max);EB3A;EB70;AC200P;AC200MAX;EP500Pro
Bormioli;Стекло;Артикул;Bormioli-001
Bosch;Электроинструмент;"Профи: 0 601 XXX XXX / GXX X-XX; Зелёный: 0 603 XXX XXX; быт.техника: буквы+цифры";GBH 2-26 DRE;GSB 18V-21;GWS 750-115;0 601 9A5 000;PSR 1800 LI-2;WAN24268ES
Boschmarín;Автомобильные аксессуары;Артикул;Boschmarín-001
Brabantia;Кухня;"6 цифр; серия + код";480628;402385;Bo Touch Bin 114349
Braun;Бытовая техника;"Series цифра + код; MQ/MQ7";Series 9 9290cc;MQ7035X;Series 5 50-B1200s
Bricoeasy;Стройматериалы;Артикул;Bricoeasy-001
Bricoplaza;Стройматериалы;Артикул;Bricoplaza-001
Brilliant;Освещение;Артикул;Brilliant-001
BRITA;Фильтры;Модель;BRITA Marella; BRITA Flow
Britec;Электрика;Артикул;Britec-001
Broil King;Барбекю;Модель;Broil King-001
Bruguer;Краски;"RAL код; название + код";RAL 9010;Blanco 5057507
